Compound	Occurrences	pubchem_isosmiles
(+)-ph-bpe	8	empty
(+)-pindox	4	empty
(+)-pinylborane	1	C12(C(CCC(C1(C)C)C2)C)B
(+)-s(p)-4,12-bis(dimethylsilanol)[2.2]paracyclophane	5	empty
(+)-sparteine	31	C1CCN2C[C@H]3C[C@@H]([C@H]2C1)CN4[C@H]3CCCC4
(+)-sparteine surrogate	22	CN1C[C@@H]2C[C@H](C1)[C@@H]3CCCCN3C2
(+)-taniaphos	1	empty
(+)-tetramisole hydrochloride	1	empty
(+)-triethylsilyl iodide	1	C(C)[Si](CC)(CC)I
(+)-trislt;(s)-2-methylbutylgt;aluminium etherate	1	empty
(+)-weinsaeure-diethylester	66	empty
(+)-yb(tfc)3	1	empty
(+)/(-)-ph-bpe	23	empty
(+)?cinchonine	1	empty
(+-)-threo-alpha-nitro-alpha'-nitryloxy-bibenzyl	1	empty
(+/-)-(2s,4r)-2-bn2nco-4-oh-pyrrolidine	6	empty
(+/-)-(4s,5s)-1,3-bis(2,6-diisopropylphenyl)-4,5-diphenyl-4,5-dihydro-1h-imidazol-3-ium tetrafluoroborate	5	F[B-](F)(F)F~C(C)(C)C1=C(C(=CC=C1)C(C)C)N1C=[N+]([C@H]([C@@H]1C1=CC=CC=C1)C1=CC=CC=C1)C1=C(C=CC=C1C(C)C)C(C)C
(+/-)-(5,5',6,6',7,7',8,8'-octahydro-1,1'-binaphthyl)-2,2'-diyl dibenzylphosphoramidite	30	empty
(+/-)-(6,6'-dimethoxybiphenyl-2,2'-diyl)bis{bis[2,6-bis(trifluoromethyl)-4-pyridyl]phosphine}	9	COC1=CC=CC(=C1C1=C(C=CC=C1OC)P(C1=CC(=NC(=C1)C(F)(F)F)C(F)(F)F)C1=CC(=NC(=C1)C(F)(F)F)C(F)(F)F)P(C1=CC(=NC(=C1)C(F)(F)F)C(F)(F)F)C1=CC(=NC(=C1)C(F)(F)F)C(F)(F)F
(+/-)-1	1	empty
(+/-)-1,2,5,6,9,10-hexabromocyclododecane	1	BrC1C(CCC(C(CCC(C(CC1)Br)Br)Br)Br)Br
(+/-)-10-camphoric acid	3	empty
(+/-)-2,2-dimethyl-1-lt;p-(trifluoromethyl)phenylgt;propan-1-ol	1	empty
(+/-)-2,3-o-isopropylidene-2,3-dihydroxy-1,4-bis(diphenylphosphino)butane	29	empty
(+/-)-2,5-(ch2)10-4-deuterio-1-me-1,4-dihydronicotinamide	2	empty
(+/-)-2-acetoxycyclohexanone	1	C(C)(=O)OC1C(CCCC1)=O
(+/-)-2-ethyloxirane	49	C(C)C1OC1
(+/-)-2-oac-3-oxo-8-azabicyclo[3.2.1]octane-8-co2et	1	empty
(+/-)-4-methyl-n-(2-{[(4-methylphenyl)sulfonyl]amino}cyclohexyl)benzenesulfonamide	5	empty
(+/-)-[1,2-cyclohexanediamino-n,n'-bis(3,5-di-t-butylsalicylidene)]manganese(iii) chloride	24	empty
(+/-)-anti-(tfo)cp2zroch(tbu)ch(ch3)cooch3	1	empty
(+/-)-binal-h reagent	2	empty
(+/-)-binap	47	C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=C(C4=CC=CC=C4C=C3)C5=C(C=CC6=CC=CC=C65)P(C7=CC=CC=C7)C8=CC=CC=C8
(+/-)-butanamine	9	C(CCC)N
(+/-)-camphor sulfonic acid	1	C12(C(=O)CC(CC1)C2(C)C)CS(=O)(=O)O
(+/-)-camphor-10-sulfonic acid	145	C12(C(=O)CC(CC1)C2(C)C)CS(=O)(=O)O
(+/-)-camphorsulfonic acid	2	C12(C(=O)CC(CC1)C2(C)C)CS(=O)(=O)O
(+/-)-camphosulfonic acid	1	empty
(+/-)-ethyl e-3-trimethylsilylhex-4-enoate	1	C[Si](C(CC(=O)OCC)\C=C\C)(C)C
(+/-)-fe(me5cp)[2-(ph2pch2)-3,4-me2-phosphacp]	1	empty
(+/-)-lt;cyclo-pph2-cr(co)2(o-ph2pc6h4ch(me))-gt;	1	empty
(+/-)-mib	13	empty
(+/-)-monotrimethyl phosphite(dicarbonyl)lt;methyl alpha-(o-diphenylphosphinophenyl)ethyl ethergt;chromium	1	empty
(+/-)-n-(cyanophenylmethyl)benzamide	1	empty
(+/-)-phenyl-1,2-ethanediol	1	C1(=CC=CC=C1)C(CO)O
(+/-)-potassium-lt;1-methyl-heptylategt;	1	empty
(+/-)-potassium-lt;2-butyl-octylategt;	1	empty
(+/-)-potassium-lt;2-ethyl-hexylategt;	1	empty
(+/-)-prophenol	22	empty
(+/-)-pyrrolidine-3-carboxylic acid	1	N1CC(CC1)C(=O)O
(+/-)-segphos	24	empty
(+/-)-snap	2	empty
(+/-)-synphos	56	empty
(+/-)-taddol-phosphite	1	empty
(+/-)-tetrahydropapaveroline	15	C1CNC(C2=CC(=C(C=C21)O)O)CC3=CC(=C(C=C3)O)O
(+/-)-tf-biphamphos	7	empty
(+/-)-trans-2,5-dimethylpiperazine	16	C[C@@H]1NC[C@H](NC1)C
(+/-)-trans-2-phenyl-1-cyclohexanol	2	C1(=CC=CC=C1)[C@H]1[C@@H](CCCC1)O
(+/-)-trans-3-tert-butyl-3-methyl-2-(phenylsulfoxyl)oxaziridine	1	empty
(+/-)-trans-co(ii)-salen	3	empty
(+/-)-trans-co(iii)-salen-cl	1	empty
(+/-)-triphenylphosphine(dicarbonyl)lt;methyl alpha-(o-diphenylphosphinophenyl)ethyl ethergt;chromium	1	empty
(+/-)-vapol	1	empty
(+/-)camphorsulfonic acid	1	C12(C(=O)CC(CC1)C2(C)C)CS(=O)(=O)O
(-) hapten 14	1	empty
(-) hapten 20	1	empty
(-) nmcpmo(no)(cl)(eta3-methallyl)	2	empty
(-) sparteine	1	C1CCN2C[C@@H]3C[C@H]([C@H]2C1)CN4[C@H]3CCCC4
(-)-(1,2)-bislt;(diphenylphosphino)benzamidogt;cyclohexane	1	empty
(-)-(1r)-(10-camphorsulfonyl)oxaziridine	2	empty
(-)-(1r,1'r)-1,2,3,4,1',2',3',4'-octahydro-1,1'-bisisoquinoline	13	empty
(-)-(1r,2s,)-1,2-diphenyl-1-ethanol-2-amine	1	empty
(-)-(1s,5s)-beta-pinene	7	[C@H]12C(CC[C@H](C1(C)C)C2)=C
(-)-(1s,5s,7r) -7-(oxazolo[4,5-b]-xanthone-2-yl)-1,5,7-trimethyl-3-azabicyclo[3.3.1]nonan-2-one	2	empty
(-)-(1s,5s,7r)-1,5,7-trimethyl-7-(5',6',7',8'-tetrahydro-1'-oxa-3'-azacyclopenta[b]naphthalene-2'-yl)-3-azabicyclo[3.3.1]nonan-2-one	11	empty
(-)-(2r)-2-phenylglycine	13	C1(=CC=CC=C1)[C@@H](N)C(=O)O
(-)-(2r,3r)-butanediol	1	C[C@H]([C@@H](C)O)O
(-)-(2s,3s)-bis(diphenylphosphino)butane	1	C1(=CC=CC=C1)P(C1=CC=CC=C1)[C@H]([C@H](C)P(C1=CC=CC=C1)C1=CC=CC=C1)C
(-)-(4,4'-(2-cyo-1-naphthyl)2-2,2'-binaphthyl-3,3'-diyl)hpo4	7	empty
(-)-(8,8-dimethoxycamphoryl)sulfonylgt;oxaziridine	1	empty
(-)-(c5me5)fec5h3nc3h(pyrrolidino)	11	empty
(-)-(c5ph5)fec5h3nc3h(dimethylamino)	5	empty
(-)-(m)-11,12-benzo-1-aza[6]helicene n-oxide	6	empty
(-)-(m)-11,12-benzo-2-(1-adamantylamino)-1-aza[6]helicenium tfpb	4	empty
(-)-(nmi)2zrcl2	2	empty
(-)-(o)-(9)-allyl-n-(9-anthracenylmethyl)cinchodinium bromide	11	empty
(-)-(r)-(6,6'-dimethylbiphenyl-2,2'-diyl)bis(diphenylphosphine)	14	empty
(-)-(r)-5-(4,5,6,7-tetrahydrodiindeno[7,1-de:1',7'-fg][1,3,2]dioxaphosphocin-12-yl)-5h-dibenzo[b,f]azepine	4	C1=C2C=C(C34C2=C(OPO[C@H]2C3=C(C=C4)C=CC2)C=C1)N1C2=C(C=CC4=C1C=CC=C4)C=CC=C2
(-)-(r,r)-(-)-(diop)cocl2	7	empty
(-)-(r,r)-1,2-bis(2-bromophenyl)ethane-1,2-diol	5	BrC1=C(C=CC=C1)[C@H]([C@H](O)C1=C(C=CC=C1)Br)O
(-)-(r,r)-n,n'-bis(3,5-di-tert-butyl-salicylidene)-1,2-cyclohexanediamine	2	empty
(-)-(r,r)-taddol	17	empty
(-)-(s)-1-(1-allyloxyethyl)-4-tert-butylbenzene	1	C(C=C)O[C@@H](C)C1=CC=C(C=C1)C(C)(C)C
(-)-(s)-1-anthracen-9-ylethanol	8	C1=CC=CC2=CC3=CC=CC=C3C(=C12)[C@H](C)O
(-)-(s)-[2-(2-methoxynaphthalen-1yl)phenyl]diphenylphosphine	1	empty
(-)-(s)-alpha-pinene	7	[C@H]12C(=CCC(C1(C)C)C2)C
(-)-(s)-binal-h	22	empty
(-)-(s)-cop-oac	2	empty
(-)-(s)-pipecolic acid	1	N1[C@@H](CCCC1)C(=O)O
(-)-(s)-synphos	7	empty
(-)-(s,s)-dmpeda	35	empty
(-)-(s,s)-mesdpen-eta6-p-cymene-ruiicl	1	empty
(-)-(salen)cr(iii)-sbf6	1	empty
(-)-(sp)-cobalt(i)	4	empty
(-)-(trans-ph2-c4h6n-ch2)2	2	empty
(-)-1,2-bis-((2r,5r)-2,5-diethylphospholano)benzene(cyclooctadiene) rhodium(i) tetrafluoroborate	20	empty
(-)-1,2-bis-((2s,3s)-2,5-dimethylphospholano)ethane(cyclooctadiene)-rhodium(i)-trifluoro-methane sulfonate	15	empty
(-)-1,7,7-trimethyl-3-morpholinobicyclo[2.2.1]heptan-2-ol	1	CC12C(C(C(CC1)C2(C)C)N2CCOCC2)O
(-)-10-csa	173	CC1([C@H]2CC[C@@]1(C(=O)C2)CS(=O)(=O)O)C
(-)-1s,5s-alpha-pinene	2	empty
(-)-2,2'-isopropylidenebis(indano-2-oxazoline)	1	empty
(-)-2,2?-isopropylidenebis[(4s)-4-phenyl-2-oxazoline]	182	empty
(-)-2,3-o-isopropylidene-2,3-dihydroxy-1,4-bis(diphenylphosphanyl)butane	1	empty
(-)-2-(2-(diphenylphosphino)naphthalen-1-yl)-1-(perfluorobenzyl)-4,5-diphenyl-1h-imidazole	18	C1(=CC=CC=C1)P(C1=C(C2=CC=CC=C2C=C1)C=1N(C(=C(N1)C1=CC=CC=C1)C1=CC=CC=C1)C(C1=C(C(=C(C(=C1F)F)F)F)F)(F)F)C1=CC=CC=C1
(-)-2-(dicyclohexylphosphino)-2'-(dimethylamino)-1,1'-binaphthyl	43	C1(CCCCC1)P(C1=C(C2=CC=CC=C2C=C1)C1=C(C=CC2=CC=CC=C12)N(C)C)C1CCCCC1
(-)-2-[(3-fluoro-phenyl)-methyl-amino]-propionic acid ethyl ester	1	C(C)OC(C(C)N(C)C1=CC(=CC=C1)F)=O
(-)-2-exo-morpholinoisobornane-10-thiol	23	empty
(-)-2-octyl tosylate	1	S(=O)(=O)(OC(C)CCCCCC)C1=CC=C(C)C=C1
(-)-3-fluoro-8,8-me2-8-azonia-bicyclo[3.2.1]octan-2-one otf	1	empty
(-)-6-benzyl-3-((tert-butyldimethylsilyl)oxy)-8-(diphenylphosphino)-8-azabicyclo[3.2.1]oct-6-ene-p-borane	3	empty
(-)-8-(phenylmethylene)bicyclo[3.2.1]octan-3-one	1	C1(=CC=CC=C1)C=C1C2CC(CC1CC2)=O
(-)-9-(1r,2r-pseudoephedrinyl)-(10s)-tms-9-bbd	1	empty
(-)-9-pinanyl-bbn	1	empty
(-)-[(c5ph5)fe((ch2)4nc8h5n)]	4	empty
(-)-[4,4'-pph2-2,2',5,5'-me-3,3'-bithiophene]rui(p-cumene)i	1	empty
(-)-[c5(me)5]fe[4-(pyrrolidino)c8h5n]	5	empty
(-)-alpha-fenchylamine	1	empty
(-)-b-methoxy-diisopinocamphenylborane	2	empty
(-)-b-methoxydiisopinocampheylborane	2	B([C@@H]1C[C@@H]2C[C@H]([C@H]1C)C2(C)C)([C@@H]3C[C@@H]4C[C@H]([C@H]3C)C4(C)C)OC
(-)-bis[(1-neomenthyl)indenyl]zirconium dichloride	2	empty
(-)-bislt;(s)-1-phenylethylgt;amine	2	empty
(-)-bislt;(s)-1-phenylethylgt;amine hydrochloride	1	empty
(-)-bispyridinyl ligand	1	empty
(-)-borneol 3,3',5,5'-tetramethyl-biphenol phosphite	1	P(O)(O)OC=1C(=C(C=C(C1)C)C)C=1C(=CC(=CC1C)C)O~C12(C(CC(CC1)C2(C)C)O)C
(-)-borneol biphenol phosphite	3	P(O)(O)OC=1C(=CC=CC1)C=1C(=CC=CC1)O~C12(C(CC(CC1)C2(C)C)O)C
(-)-bornyl alcohol	2	C12(C(CC(CC1)C2(C)C)O)C
(-)-bpy*	2	empty
(-)-brucine	74	COC1=C(C=C2C(=C1)[C@]34CCN5[C@H]3C[C@@H]6[C@@H]7[C@@H]4N2C(=O)C[C@@H]7OCC=C6C5)OC
(-)-c36h32o4	1	empty
(-)-c5phe5-dmap-deriv. ferrocene	1	empty
(-)-c65h92n4o8v2(2+)*2etso4(1-)	1	empty
(-)-c6h10[n=chc10h5(oh)c10h6(oh)]2	3	empty
(-)-camphor-10-sulfonic acid	9	C12(C(=O)CC(CC1)C2(C)C)CS(=O)(=O)O
(-)-chibag	1	empty
(-)-csa	1	CC1(C2CCC1(C(=O)C2)CS(=O)(=O)O)C
(-)-cso	6	empty
(-)-d-dimethyl tartrate	1	empty
(-)-d-dipt	1	empty
(-)-dccso	3	empty
(-)-det	1	empty
(-)-dicyclohexyl d-tartrate	2	C(=O)(OC1CCCCC1)[C@@H](O)[C@H](O)C(=O)OC1CCCCC1
(-)-dicyclohexyl tartrate	1	C(=O)(OC1CCCCC1)C(O)C(O)C(=O)OC1CCCCC1
(-)-diethyl tartrate	61	C(=O)(OCC)C(O)C(O)C(=O)OCC
(-)-diisopinocamphenylborane chloride	1	empty
(-)-diisopinocamphoyl(methoxy)borane	1	empty
(-)-dip-chloride	1	empty
(-)-dipt	1	CC(C)OC(=O)[C@H]([C@@H](C(=O)OC(C)C)O)O
(-)-dtbm-segphos	1	empty
(-)-eta5-(pentamethylcyclopentadienyl)-eta5-(2-((2-hydroxy-2,2-diphenylethyl)oxymethyl)pyrrolyl)iron	7	empty
(-)-hydrocupreine-5'-(hydrazine-n,n'-dicarboxylic acid tert-butyl ester)	15	empty
(-)-ipc2bcl	2	B([C@@H]1C[C@@H]2C[C@H]([C@H]1C)C2(C)C)([C@@H]3C[C@@H]4C[C@H]([C@H]3C)C4(C)C)Cl
(-)-ipc2bome	80	B([C@@H]1C[C@@H]2C[C@H]([C@H]1C)C2(C)C)([C@@H]3C[C@@H]4C[C@H]([C@H]3C)C4(C)C)OC
(-)-ipc2botf	2	empty
(-)-ips2bome	1	empty
(-)-isopinocampheylborane	2	empty
(-)-lt;2-(1,3-dithianyl)myrtanylborane	1	empty
(-)-menthol	32	C1(CC(C(CC1)C(C)C)O)C
(-)-menthoxy magnesium chloride	3	C1(CC(C(CC1)C(C)C)O[Mg]Cl)C
(-)-menthyl tms-ether	2	[Si](C)(C)(C)OC1CC(CCC1C(C)C)C
(-)-menthyl(o2c)-leu-oh	26	empty
(-)-mib	43	empty
(-)-monoisopinocampheylborane	5	empty
(-)-n,n-(dibutyl)amino-1-phenylpropan-1-ol	1	empty
(-)-n,n-dimethyl-1-(1-naphthyl)ethylamine pt	1	empty
(-)-n,n-dimethylaminoisoborneol	1	empty
(-)-n-(phenylsulfonyl)-(3,3-dichlorocamphoryl)oxaziridine	4	empty
(-)-n-(tetrahydrofurfur-2-yl)methylpyrrolidine	1	empty
(-)-n-[(4s,5s)-2,2-dimethyl-4-phenyl-1,3-dioxan-5-yl]-5h-dibenzo[c,e]azepinium tetraphenylborate	1	empty
(-)-n-benzylquininium chloride	11	COC1=CC2=C(C=CN=C2C=C1)[C@H]([C@@H]3CN4CC[N@+]3(C[C@@H]4C=C)CC5=CC=CC=C5)O~[Cl-]
(-)-n-methylephedrine lithium salt	1	empty
(-)-o-allyl-n-(9-anthracenylmethyl)cinchonidinium bromide	2	empty
(-)-pinene	1	C12=C(CCC(C1(C)C)C2)C
(-)-pr(hfc)3	1	empty
(-)-r-ethylenebis(4,5,6,7-tetrahydro-1-indenyl)dimethylzirconium	1	empty
(-)-riboflavin	36	CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](CO)O)O)O
(-)-s-3,5-dihydro-3,3,5,5-tetramethyl-4h-dinaphthlt;2,1-c:1'2'-egt;azepine-n-oxyl	1	empty
(-)-sparteine	863	C1CCN2C[C@@H]3C[C@H]([C@H]2C1)CN4[C@H]3CCCC4
(-)-sultam	4	empty
(-)-taddol-derived (dimethylamino)phosphoramidite	3	empty
(-)-tetramisole	21	C1CSC2=N[C@H](CN21)C3=CC=CC=C3
(-)-tetramisole hydrochloride	50	C1CSC2=N[C@H](CN21)C3=CC=CC=C3~Cl
(-)-trans-2,3-bis(hydroxydiphenylmethyl)-1,4-dioxaspirolt;4.4gt;nonane(1b)	2	empty
(-)-trans-4,5-bis(hydroxydiphenylmethyl)-2,2-dimethyl-1,3-dioxacyclopentane(1a)	1	empty
(-)-trans-alpha,alpha'-(2,2-dimethyl-1,3-dioxolane-4,5-diyl)bis(diphenylmethanol)	5	CC1(O[C@H]([C@@H](O1)C(C2=CC=CC=C2)(C3=CC=CC=C3)O)C(C4=CC=CC=C4)(C5=CC=CC=C5)O)C
(-)-triphenylphosphine(dicarbonyl)lt;n,n-dimethyl alpha-(o-diphenylphosphinophenyl)ethylaminegt;chromium	18	empty
(-)chirapos	1	empty
(-)chlorodiisopinocampheylborane	5	empty
(-)quinine	15	COC1=CC2=C(C=CN=C2C=C1)[C@H]([C@@H]3C[C@@H]4CCN3C[C@@H]4C=C)O
(-mgch2c(ch3)c(ch3)ch2-)n	4	empty
(-mgch2chc(ch3)ch2-)n	1	empty
(-mgch2chch(ch3)ch2-)n	1	empty
(-mgch2chchch2-)n	4	empty
(-n(ch3)-(s)chph-(s)chph-n(ch3)-p(=o)(n(ch2)5)-)	1	empty
(-n(so2c8f17)-(biphenyl-2,2'-diyl)-o-)alch3	15	empty
(-n-ts-(r)-val-o-)bh	2	empty
(...ch2pph2)3rhcl	5	empty
(.eta.(1)-(phenyl)acetyl)cobalt tetracarbonyl	8	empty
(.eta.(1)-benzyl)cobalt tetracarbonyl	8	empty
(.eta.(3)-allyl)ru(co)3br	26	empty
(.eta.(5)-c5h5)2ti(oc6h4cl-p)2	20	empty
(.eta.(5)-c5h5)2ti(oc6h4me-p)2	3	empty
(.eta.(5)-c5me5)rucl(.mu.-s(i)pr)2rucl(.eta.(5)-c5me5)	10	empty
(.eta.(5)-indenyl)ir(1,5-cyclooctadiene)	41	empty
(.eta.(5):.eta.(1)-c5h4sime2ntbu)time2	10	empty
(.eta.(6)-benzene)(.eta.(2)-methylacrylate)dicarbonylchromium	1	empty
(.eta.-c5h5)ru(iii)(pph3)2cl(1+)	1	empty
(.eta.-cyclopentadienyl)(acetonitrile)bis(triphenylphosphine)ruthenium(ii) hexafluorophosphate	10	empty
(.eta.2-1-butene)(trimethylphosphane)zirconocene	11	empty
(.eta.3-2-methylallyl)(1,3-bis(2,6-diisopropylphenyl)-1,3-dihydro-2h-imidazol-2-ylidene)(ococh2c(ch3)ch2)palladium(ii)	5	empty
(.eta.3-2-methylallyl)(trimethylphosphine)(ococh2c(ch3)ch2)palladium(ii)	1	empty
(.eta.3-c3h5)co[p(ome)3]3	28	empty
(.eta.3-c3h5)rdcl(pcy2ph)	1	empty
(.eta.3-c3h5)rdcl(pcyph2)	1	empty
(.eta.4-1,5-cyclooctadiene)(pyridine)(tricyclohexylphosphine)iridium(i) hexafluorophosphate	43	empty
(.eta.4-cyclooctadiene)rhcl(p(c6h5)3)	5	empty
(.eta.4-cyclooctadiene-1,5)(.eta.5-indenyl)cobalt	12	empty
(.eta.5-c5h5)(.eta.5-c5me5)hfhcl	3	empty
(.eta.5-c5h5)2co(co)2	1	empty
(.eta.5-c5h5)2sm	6	empty
(.eta.5-c5h5)mo(co)2me	1	empty
(.eta.5-c5h5)re(no)(p(c6h5)3)(c(ch3)3)2	3	empty
(.eta.5-c5h5)re(no)(p(c6h5)3)p(c6h5)2	2	empty
(.eta.5-c5me5)(pme3)rh(h)2	1	empty
(.eta.5-c5me5)2sm(thf)2	13	empty
(.eta.5-c5me5)molybdenum(nitrosyl)(ch2sime3)2	1	empty
(.eta.5-c5me5)ruh3(pph3)	1	empty
(.eta.5-cp)iron(co)2-.alpha.-methoxyethyl	1	empty
(.eta.5-cyclopentadienyl)dicarbonyl{(dimethylsulfonio)methyl}iron tetrafluoroborate	1	empty
(.eta.5-methoxycarbonylcyclopentadienyl)(.eta.5-cyclopentadienyl)dichlorotitanium	2	empty
(.eta.5-pentamethylcyclopentadienyl)(.eta.6-hexamethylbenzene)rhodium(i)	5	empty
(.eta.6-me6c6)ru(tsn(ch(2,4,6-c6h2me3))2nh)	1	empty
(.eta.6-p-cymene)ru(p(cyclohexyl)3)(ccc(phenyl)2)cl triflate	13	empty
(.mu.-oxo)bis[(1,2-ethanediamino-n,n'-bis(salicylidene))iron(iii)]	16	empty
(.sigma.-n,.sigma.-n'-bis(phenylimino)acenaphthene)(.eta.2-dimethyl fumarate)platinum(0)	6	empty
(1'-14c)-dodecanoic acid	4	empty
(1'r,2's)-5-(2'-aminocyclopentan-1'-yl)tetrazole	1	empty
(1's,3a's,7a's)-7a'-methyloctahydrospiro([1,3]dioxolane-2,5'-inden)-1'-ol	60	C[C@@]12CCC3(C[C@@H]2CC[C@@H]1O)OCCO3
(1,1'-biphen-2-yl)(di-tert-butylphosphino)aucl	7	empty
(1,1'-biphenyl)-4-ylphenylmethanone	3	C1(=CC=C(C=C1)C(=O)C1=CC=CC=C1)C1=CC=CC=C1
(1,1'-biphenyl-2-yl)(di-tert-butylphosphino)aucl	1	empty
(1,1'-bis(di-tert-butylphosphino)ferrocene)pdcl2	22	empty
(1,1'-bis(diphenylphosphino)ferrocene)palladium dichloride	1	empty
(1,1'-bis(diphenylphosphino)ferrocene)palladium(ii) dichloride	4519	[CH-]1C=CC=C1P(C2=CC=CC=C2)C3=CC=CC=C3~[CH-]1C=CC=C1P(C2=CC=CC=C2)C3=CC=CC=C3~Cl[Pd]Cl~[Fe+2]
(1,1'-bis(ph2p)ferrocene)cl2pd(ii) ethyl dichloride	2	empty
(1,1'-dime-4,4'-bi-1,2,4-(1h,3h)triazol-3,3'-diyl)rhi3(mecn)	3	empty
(1,1'-dinaphthyl-2,2'-diyl)-n,n'-di(ph)(et)phosphoramidite	1	empty
(1,1,1-tributylstannyl)benzene	4	empty
(1,1,2,2-tetramethyl-ethyl)-dimethylchlorosilane	1	CC(C(C)C)(C)[Si](Cl)(C)C
(1,1,2,2-tetramethyleth-1-yl)-dimethylsilyl trifluoromethanesulfonate	12	FC(S(=O)(=O)O[Si](C)(C)C(C(C)C)(C)C)(F)F
(1,1-bis-(diphenylphosphino)methane)(aucl)2	16	empty
(1,10-phenanthroline)fe0	8	empty
(1,10-phenanthroline)methylchloropalladium(ii)	30	empty
(1,10-phenanthroline)palladium(ii) acetate	14	empty
(1,10-phenanthroline)palladium(ii) trifluoroacetate	4	empty
(1,10-phenanthroline)pd(o2cch3)2	36	empty
(1,10-phenanthroline)pd(ococf3)2	1	empty
(1,10-phenanthroline)pdme(oet2)+blt;3,5-c6h3(cf3)2gt;4-	17	empty
(1,10-phenanthrolino)2-tetrapalladium(co)(acetate)4	12	empty
(1,1?-bis(diphenylphosphino)-ferrocene)ni(cod)	29	empty
(1,1?-bis(diphenylphosphino)ferrocene)ni(eta2-ethylene)	1	empty
(1,1?-bis(diphenylphosphino)ferrocene)ni(eta3-cinnamyl)(cl)	1	empty
(1,1?-bis(diphenylphosphino)ferrocene)ni(i)cl	1	empty
(1,1?-bis(diphenylphosphino)ferrocene)ni(ii)(o-tolyl)cl	3	empty
(1,2,3,4,5-me5-cyclopentadiene)rh(ch2=ch-sime3)2	2	empty
(1,2,3,4,5-pentamethyl-cyclopenta-2,4-dienylmethyl)pph2	1	empty
(1,2,3,4,5-pentamethyl-cyclopenta-2,4-dienylmethyl)pph2*bh3	10	empty
(1,2,3,4,5-pentamethylcyclopentadiene)*2y(me)(thf)	16	empty
(1,2,3,4,5-pentamethylcyclopentadienyl)* ir[(s,s)-n-(methanesulfonyl)-1,2-diphenylethylenediamine]	2	empty
(1,2,3,4,5-pentamethylcyclopentadienyl)ir[.kappa.2(n,c)-(nhcme2-2-c6h4)]	9	empty
(1,2,3,4,5-pentamethylcyclopentadienyl)ircl[(s,s)-n-(p-toluenesulfonyl)-1,2-diphenylethylenediamine]	1	empty
(1,2,3,4,5-pentaphenylferrocen-1'-yl)-di-tert-butylphosphine	493	C1(=CC=CC=C1)[C-]1C(=C(C(=C1C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=CC=C1~[C-]1(C=CC=C1)P(C(C)(C)C)C(C)(C)C~[Fe+2]
(1,2,3,4-me4-5-cf3-cyclopentadiene)rh(ch2=ch-sime3)2	7	empty
(1,2-bis(diphenylphosphino)ethane)nibr2	3	empty
(1,2-bis[(2,6-diisopropylphenyl)imino]-acenaphthene)ga?ga(1,2-bis[(2,6-diisopropylphenyl)imino]-acenaphthene)	1	empty
(1,2-dibromo-1-phenyl-ethyl)-phosphonic acid	5	BrC(CBr)(C1=CC=CC=C1)P(O)(O)=O
(1,2-dibromo-2-nitro-propyl)-benzene	1	BrC(C(C)([N+](=O)[O-])Br)C1=CC=CC=C1
(1,2-dimethoxyethane)dichloronickel(ii)	21	empty
(1,2-propadienyl)cyclohexane	1	C(=C=C)C1CCCCC1
(1,2-trans)-2-hydroxycyclohexylamine hydrochloride	2	empty
(1,3,5-triaza-7-phosphaadamantane)	4	N12CN3CN(CP(C1)C3)C2
(1,3,5-trimethyl-[1,3,5]triazin-2-yl)lithium	1	CN1C(N(CN(C1)C)C)[Li]
(1,3-15n2)-sodium azide	1	empty
(1,3-biphenyl)imidazolinium chloride	1	empty
(1,3-bis(2',6'-di-iso-propylphenyl)imidazol-2-ylidene)cucl	1	empty
(1,3-bis(2,4,6-trimethylphenyl)-2-imidazolidinylidene)dichloro(o-isopropoxyphenylmethylene)ruthenium(ii) dichloride	24	CC1=C(C(=CC(=C1)C)C)N1C(N(CC1)C1=C(C=C(C=C1C)C)C)=[Ru-6](=CC1=C(C=CC=C1)OC(C)C)(Cl)(Cl)(Cl)Cl
(1,3-bis(2,6-di(ipr)c6h3)-1,3-dihydroimidazol-2-ylidene)aucl	27	empty
(1,3-bis(2,6-di(ipr)c6h3)-2,3-dihydroimidazol-2-ylidene)aucl	1	empty
(1,3-bis(2,6-di-iso-propylphenyl)-4,5-dihydroimidazol-2-ylidene) copper chloride	2	C(C)(C)C1=C(C(=CC=C1)C(C)C)N1C(N(CC1)C1=C(C=CC=C1C(C)C)C(C)C)=[Cu]Cl
(1,3-bis(2,6-diiopropylphenyl)imidazol-2-ylidine)aucl complex	23	empty
(1,3-bis(2,6-diisopropylphenyl)-2-imidazolidinylidene)pdcl2(triethylamine)	3	empty
(1,3-bis(2,6-diisopropylphenyl)-3,4,5,6-tetrahydropyrimidin-2-ylidene)pd(cinnamyl, 3-phenylallyl)cl	1	empty
(1,3-bis(2,6-diisopropylphenyl)-4,5-dihydro-1himidazol-2-ylidene)路hcl	68	empty
(1,3-bis(2,6-diisopropylphenyl)imidazol-2-ylidene)au(mecn)sbf6	10	empty
(1,3-bis(2,6-diisopropylphenyl)imidazol-2-ylidene)aucl	206	empty
